dist,delta_t,ref_speed,drv_speed,ref_throttle,drv_throttle,ref_brake,drv_brake,ref_steering,drv_steering,ref_gear,drv_gear,ref_glat,drv_glat,ref_glong,drv_glong,ref_rpm,drv_rpm
595.0,-0.12000000000000455,233.0,233.0,100.0,100.0,0.0,0.0,-3.76,-2.63,4.0,5.0,1.13,1.23,0.23,0.26,7019.0,7511.0
600.0,-0.11000000000001364,234.0,234.0,100.0,100.0,0.0,0.0,-3.925,-2.68,4.0,5.0,1.24,1.34,0.22,0.21,7068.0,7556.0
605.0,-0.10999999999998522,234.0,234.0,0.0,100.0,0.0,0.0,-3.725,-2.5,0.0,5.0,1.12,1.23,-0.275,0.22,6885.5,7532.0
610.0,-0.10000000000002274,234.0,235.0,100.0,100.0,0.0,0.0,-4.16,-3.04,5.0,5.0,0.36,0.38,-0.08,0.12,6253.0,7660.0
615.0,-0.11000000000001364,234.0,234.0,95.0,100.0,0.0,0.0,-4.32,-3.395,5.0,5.0,1.06,0.615,0.53,0.1,6326.0,8320.5
620.0,-0.10999999999998522,235.0,236.0,100.0,100.0,0.0,0.0,-3.96,-3.115,5.0,5.0,1.75,1.9700000000000002,0.24,0.42000000000000004,6031.0,7633.0
625.0,-0.1199999999999477,235.0,236.0,100.0,100.0,0.0,0.0,-3.92,-3.25,5.0,5.0,2.08,2.39,0.26,0.14,6007.0,7587.0
630.0,-0.12000000000000455,236.0,236.0,100.0,100.0,0.0,0.0,-3.3,-2.91,5.0,5.0,1.44,1.84,0.19,0.21,6013.0,7595.0
635.0,-0.11000000000001364,236.0,237.0,100.0,100.0,0.0,0.0,-3.315,-2.39,5.0,5.0,0.785,0.76,0.060000000000000005,0.06,6182.0,7854.0
640.0,-0.10000000000002274,237.0,237.0,100.0,100.0,0.0,0.0,-4.05,-2.45,5.0,5.0,1.45,1.56,0.41,0.31,6094.0,7698.0
645.0,-0.10999999999998522,237.0,238.0,100.0,100.0,0.0,0.0,-3.84,-2.235,5.0,5.0,1.37,1.685,0.21,0.215,6086.0,7677.0
650.0,-0.12000000000000455,238.0,238.0,100.0,100.0,0.0,0.0,-3.33,-1.63,5.0,5.0,1.64,1.72,0.3,0.23,6108.0,7711.0
655.0,-0.12000000000000455,238.0,239.0,100.0,100.0,0.0,0.0,-2.82,-0.85,5.0,5.0,1.46,1.51,0.22,0.22,6110.0,7704.0
660.0,-0.11000000000001364,239.0,239.0,100.0,100.0,0.0,0.0,-2.865,-1.07,5.0,5.0,1.095,1.22,0.21000000000000002,0.23,6108.5,7699.0
665.0,-0.11000000000001364,239.0,239.5,100.0,100.0,0.0,0.0,-3.6,-1.46,5.0,5.0,1.15,1.1400000000000001,0.22,0.235,6182.0,7779.0
670.0,-0.12000000000000455,240.0,240.0,100.0,100.0,0.0,0.0,-3.23,-1.22,5.0,5.0,1.5,1.29,0.24,0.24,6137.0,7742.0
675.0,-0.12000000000000455,240.0,241.0,100.0,100.0,0.0,0.0,-2.58,-0.56,5.0,5.0,1.34,1.32,0.23,0.24,6124.0,7720.0
680.0,-0.11000000000001364,241.0,241.0,100.0,100.0,0.0,0.0,-2.835,-0.51,5.0,5.0,0.475,0.39,0.009999999999999995,0.12,6270.5,7792.0
685.0,-0.11000000000001364,241.0,241.0,100.0,100.0,0.0,0.0,-2.8,-0.9450000000000001,5.0,5.0,1.17,0.5349999999999999,0.58,0.135,6461.0,8533.0
690.0,-0.12000000000000455,242.0,242.0,100.0,100.0,0.0,0.0,-2.14,-0.69,5.0,5.0,1.61,1.4,0.22,0.22,6207.0,7817.0
695.0,-0.1199999999999477,242.0,243.0,100.0,100.0,0.0,0.0,-0.85,-0.22,5.0,5.0,1.41,1.28,0.2,0.23,6184.0,7782.0
700.0,-0.10999999999998522,243.0,243.0,100.0,100.0,0.0,0.0,-0.385,0.21,5.0,5.0,1.025,0.89,0.20500000000000002,0.19,6207.5,7848.0
705.0,-0.11000000000001364,243.0,244.0,100.0,100.0,0.0,0.0,-0.59,0.425,5.0,5.0,0.91,0.9,0.24,0.255,6203.0,7833.5
710.0,-0.12000000000000455,244.0,244.0,100.0,100.0,0.0,0.0,-1.14,0.34,5.0,5.0,0.63,0.67,0.17,0.2,6237.0,7854.0
715.0,-0.11000000000001364,244.0,245.0,100.0,100.0,0.0,0.0,-1.4,0.13,5.0,5.0,0.525,0.45,0.185,0.2,6260.0,7897.0
720.0,-0.10999999999998522,245.0,245.0,98.0,90.0,2.0,25.5,-1.58,-0.52,5.0,5.0,0.59,0.475,0.18,0.065,6252.0,7868.5
725.0,-0.1199999999999477,243.0,243.0,69.0,25.0,82.0,98.0,-1.74,-1.34,0.0,5.0,0.58,0.52,-1.5,-1.33,6412.0,7610.0
730.0,-0.12000000000000455,237.0,239.0,0.0,69.0,100.0,100.0,-2.05,-2.1,4.0,0.0,0.5,0.53,-1.95,-1.86,6754.0,8490.0
735.0,-0.11000000000001364,233.0,233.0,0.0,0.0,100.0,100.0,-3.21,-3.94,4.0,4.0,0.485,0.47,-1.935,-1.69,6385.5,8085.0
740.0,-0.11000000000001364,227.5,227.0,69.0,0.0,100.0,100.0,-4.545,-5.4,0.0,4.0,0.88,1.1,-2.235,-2.05,6529.5,7880.0
745.0,-0.10999999999998522,221.5,222.0,34.5,0.0,100.0,100.0,-4.725,-5.31,0.0,4.0,1.16,1.49,-2.1100000000000003,-1.99,7465.0,7819.0
750.0,-0.12000000000000455,215.0,216.0,0.0,0.0,100.0,100.0,-5.91,-5.13,3.0,4.0,1.5,1.73,-2.27,-1.81,7349.0,7520.0
755.0,-0.12000000000000455,209.0,211.0,0.0,56.0,100.0,100.0,-8.15,-5.14,3.0,0.0,1.58,2.11,-1.83,-1.9,7293.0,7484.0
760.0,-0.1199999999999477,204.0,206.0,0.0,0.0,100.0,100.0,-8.25,-4.64,3.0,0.0,1.1,1.33,-1.66,-1.43,6813.0,8381.0
765.0,-0.12000000000000455,197.0,201.0,0.0,0.0,100.0,100.0,-9.27,-2.82,3.0,3.0,1.22,0.98,-1.73,-1.33,6198.0,7814.0
770.0,-0.12000000000000455,192.0,196.0,0.0,0.0,100.0,100.0,-11.98,-0.16,3.0,3.0,1.8,1.98,-1.82,-1.79,6272.0,7830.0
775.0,-0.12000000000000455,186.0,189.0,0.0,0.0,56.0,100.0,-13.41,6.46,3.0,3.0,1.59,1.55,-1.23,-1.5,6080.0,7552.0
780.0,-0.12000000000000455,183.0,184.0,0.0,0.0,0.0,92.0,-13.76,5.88,3.0,3.0,2.19,1.65,-0.53,-1.47,6456.0,7236.0
785.0,-0.12000000000000455,181.0,180.0,0.0,4.0,0.0,2.0,-11.62,2.57,3.0,3.0,1.91,1.82,-0.27,-0.47,6422.0,7532.0
790.0,-0.12000000000000455,179.0,178.0,7.0,16.0,0.0,0.0,-8.83,8.91,3.0,3.0,2.3,2.14,-0.19,-0.08,6439.0,7902.0
795.0,-0.12000000000000455,178.0,176.0,22.0,18.0,0.0,0.0,-6.13,6.45,3.0,3.0,2.6,2.63,-0.08,-0.05,6452.0,7879.0
800.0,-0.12000000000000455,177.0,175.0,21.0,29.0,0.0,0.0,-1.52,8.39,3.0,3.0,2.33,2.3,-0.05,0.0,6412.0,7882.0
805.0,-0.12000000000000455,173.0,174.0,69.0,24.0,96.0,12.0,2.93,9.8,0.0,3.0,1.28,1.91,-1.36,-0.07,6056.0,7845.0
810.0,-0.1199999999999477,168.0,170.0,0.0,0.0,100.0,100.0,3.32,15.93,2.0,3.0,0.6,0.54,-1.61,-1.32,6325.0,6394.0
